TCGA-COAD_TCGA-3L-AA1B-01A-11D-A36X-10	1	2	0	3	3	1	2	2	5	0	0	4	3	2	1	4	2	0	0	1	0	0	0	2	0	0	2	1	2	0	0	3	2	1	22	0	5	4	25	4	1	2	23	3	2	3	20	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	2	0	2	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TCGA-COAD_TCGA-5M-AAT4-01A-11D-A40P-10	3	1	0	1	3	2	1	2	4	5	0	4	2	4	0	7	0	3	1	2	2	4	1	1	0	3	2	3	1	0	1	12	2	4	22	2	4	4	26	1	4	2	32	3	3	2	11	1	1	2	2	1	1	0	1	5	1	0	0	0	0	1	0	0	0	1	1	2	0	1	2	2	0	1	0	2	2	3	0	3	0	1	0	2	1	2	3	9	0	0	0	2	1	0	1	3
TCGA-COAD_TCGA-5M-AATE-01A-11D-A40P-10	0	2	0	1	2	0	0	2	0	1	1	2	2	0	2	4	0	2	0	0	3	0	1	1	1	0	0	0	0	1	0	5	5	1	29	4	2	4	20	3	4	2	24	4	5	2	13	3	0	0	1	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	3	0	1	1	1	1	2	0	3	1	0	1	1	0	1	0	0	0	1	0	3	0	0	1	0	0	1	1	1
TCGA-COAD_TCGA-A6-2675-01A-02D-1719-10	6	4	0	2	4	2	0	0	0	0	0	0	0	2	0	4	0	2	0	0	0	2	2	0	0	0	2	0	2	0	0	2	0	2	52	2	2	6	40	2	6	0	54	6	8	4	20	8	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	2	2	6	0	10	2	2	2	0	2	5	0	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
TCGA-COAD_TCGA-A6-3810-01A-01D-A270-10	3	3	0	3	2	3	0	3	2	3	2	1	0	3	2	3	1	0	1	1	0	0	0	2	1	0	1	1	2	2	2	5	5	5	34	0	4	6	20	7	5	3	25	3	9	6	17	5	1	0	2	0	1	1	0	2	0	1	0	0	1	0	1	1	3	0	3	2	1	3	2	3	0	0	2	3	0	1	0	0	0	0	0	2	0	0	2	5	1	0	1	1	0	2	0	1
TCGA-COAD_TCGA-A6-4105-01A-02D-1771-10	4	2	0	1	3	1	0	3	7	0	1	7	4	3	0	0	1	0	2	0	0	0	1	0	0	2	0	1	1	2	3	5	2	1	23	3	2	1	18	2	4	3	34	1	3	5	8	4	2	0	0	1	0	1	1	3	0	1	2	1	1	0	0	1	0	2	4	4	4	1	1	0	1	4	1	3	1	2	0	0	1	0	0	0	1	0	0	2	0	0	1	1	1	0	0	2
TCGA-COAD_TCGA-A6-4107-01A-02D-1408-10	8	4	0	0	4	0	2	6	10	2	4	6	6	4	0	16	0	0	0	1	0	2	0	4	4	2	0	0	0	2	0	8	8	0	63	10	4	6	77	14	10	11	52	9	6	4	31	6	0	2	0	2	2	0	4	6	0	0	0	2	4	0	2	2	4	4	10	0	2	4	6	10	2	2	0	2	2	2	0	4	0	0	0	0	0	0	2	0	0	0	0	2	2	2	2	4
TCGA-COAD_TCGA-A6-5660-01A-01D-1650-10	4	0	0	2	2	2	6	0	4	4	4	4	2	3	0	4	4	2	2	0	4	0	0	4	0	0	2	4	2	2	0	8	2	2	44	2	4	6	48	2	2	6	40	8	5	2	23	4	0	2	0	0	0	2	2	0	0	0	0	0	2	0	0	0	6	5	4	2	0	5	4	2	0	3	4	0	0	2	2	3	0	0	0	0	0	0	2	0	0	0	2	0	2	2	0	3
TCGA-COAD_TCGA-A6-6137-01A-11D-1771-10	1	3	0	0	0	1	0	0	4	3	0	1	1	1	0	4	1	4	0	1	0	0	0	1	0	0	0	0	1	0	0	1	3	1	24	3	8	3	17	2	3	1	20	4	2	4	14	3	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	2	2	0	0	2	0	3	2	2	2	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0
TCGA-COAD_TCGA-A6-6649-01A-11D-1771-10	1	2	0	1	1	0	0	3	2	0	0	0	0	1	0	3	0	0	0	3	3	0	0	1	0	0	0	0	1	0	0	1	3	1	32	1	3	0	18	3	3	4	25	3	5	5	12	4	0	1	0	2	0	0	1	0	0	0	2	1	0	0	0	1	0	0	2	2	0	2	1	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0
